Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Cover_Type
2939,9,42,7,4194,231,241,5131,1
3017,17,390,-27,2948,234,204,150,0
2978,20,339,69,4566,212,191,4365,0
3044,6,256,18,679,206,243,872,0
2278,23,361,97,870,189,187,859,5
2346,34,170,95,1529,254,183,382,2
3124,14,636,203,3215,183,225,2288,0
2592,42,60,37,1717,248,173,1340,1
3082,15,153,14,853,232,209,2072,0
2945,17,210,48,3915,247,216,5198,1
2622,19,127,11,684,245,231,1909,1
2424,21,258,98,1475,173,203,424,5
3294,22,212,26,499,221,188,1064,1
3061,6,30,5,4901,230,230,2106,1
3272,13,618,88,690,189,225,644,0
3209,11,543,133,1269,209,217,1861,1
2126,31,85,35,797,251,208,134,3
2909,6,180,3,5295,202,238,4842,1
2518,5,360,39,553,229,234,3522,1
2858,16,60,11,837,200,254,175,1
2935,3,67,-3,1441,215,242,342,1
3248,12,810,111,2184,188,232,725,0
2615,7,134,3,664,229,226,6125,4
2934,9,313,31,3510,232,225,4614,1
2881,15,541,93,1500,225,248,1544,1
2844,8,90,14,1300,227,223,2505,1
2706,17,30,10,1572,240,206,646,1
3343,16,540,115,1950,184,217,1074,0
2641,4,153,64,1316,215,244,1452,1
3177,10,30,3,663,203,223,1026,1
3286,6,0,0,5682,230,237,685,0
2893,14,108,7,5049,218,209,4324,1
2909,15,342,57,3576,207,208,5280,1
2685,17,242,1,1443,246,226,860,2
1933,32,60,37,108,128,181,417,2
2187,28,42,3,459,175,173,541,5
3371,5,175,12,1570,205,239,892,6
2636,5,60,2,1350,206,234,108,1
3212,19,283,-118,457,237,240,3578,1
3201,4,511,26,3891,226,239,4213,0
2844,3,457,56,3305,218,233,6390,1
2524,10,270,41,437,192,243,162,1
2896,10,382,51,3180,216,249,2474,1
3044,14,85,26,6622,227,247,3180,1
2882,16,42,6,1200,199,205,1952,1
2904,21,295,99,1146,157,221,1159,1
3002,19,124,29,2773,236,240,1584,1
2563,22,120,44,997,157,214,497,5
3099,10,424,-83,1785,235,222,1482,0
3323,20,212,1,721,249,221,4061,1
3010,14,323,11,1048,217,210,1703,0
2763,14,134,32,1666,193,216,2375,1
2949,14,900,183,2483,194,216,812,1
3443,6,849,206,3489,204,243,518,0
2932,29,306,162,700,129,201,1199,0
2796,9,573,81,2975,206,222,1443,1
3237,2,361,103,2378,222,236,3302,0
3107,11,67,3,1073,202,221,2658,0
2704,20,67,24,1610,164,222,2239,1
3015,7,607,105,1855,220,246,2274,1
3604,23,384,192,3121,154,215,1406,0
3136,14,95,16,5647,186,247,2674,1
3419,17,510,63,1826,176,218,552,6
3223,4,120,12,1248,214,231,2708,1
2774,19,60,11,3750,227,246,1288,1
2930,11,150,18,3395,229,217,1250,1
3166,9,150,29,2197,195,238,700,0
3327,11,469,48,3382,206,251,1365,1
2308,23,150,49,240,200,184,1012,1
3007,15,240,33,1595,224,248,3531,0
3043,7,201,30,1142,233,233,2758,1
2209,38,90,52,1368,106,165,1216,2
2725,18,30,8,1338,165,229,1507,1
2944,10,658,75,1153,231,220,1579,1
3006,7,67,9,4273,203,230,612,1
3311,16,706,154,1129,240,236,1296,1
2895,6,534,25,2797,228,230,2230,1
3084,13,67,7,3298,228,211,1332,0
2479,13,108,13,1328,186,228,812,2
3148,8,60,0,330,225,244,1470,0
2782,28,190,94,1507,239,175,1110,1
3213,25,247,34,4524,154,202,1598,0
2977,14,170,40,3852,187,221,1332,1
2885,7,309,54,2797,216,247,2325,1
2993,13,201,3,3606,222,211,2197,0
2515,27,234,106,1396,192,252,886,2
2861,11,234,12,3085,213,216,2431,1
3275,13,488,75,1194,201,215,390,0
2810,12,124,10,2096,210,251,2188,1
3058,12,390,3,649,238,222,1209,0
2615,11,212,15,890,218,249,2340,1
2826,21,120,30,3988,156,232,834,1
2786,10,175,15,1006,237,228,2486,1
2934,16,190,37,4357,198,206,390,0
2805,13,513,71,256,240,220,931,1
2677,15,270,43,2349,211,252,2337,2
2808,8,402,16,2147,228,243,2001,1
2868,21,466,113,1379,205,191,871,1
3394,13,481,102,2851,206,252,1307,0
3172,9,297,105,4878,235,236,1627,0
3309,8,845,95,981,206,248,2486,1
3164,11,242,49,255,239,234,2197,0
3042,11,134,26,1187,205,218,2659,0
2973,12,90,7,4170,188,229,1148,1
2956,35,319,145,2272,254,184,1860,1
3187,19,458,91,1518,165,235,2431,0
3229,20,277,75,4685,162,241,3455,0
2622,7,90,9,180,227,226,499,1
3191,3,488,96,5158,212,234,2114,0
3272,21,379,91,4170,248,224,1087,0
3226,13,376,43,3268,222,212,2848,0
2890,1,162,15,2030,216,240,1931,1
3022,16,30,11,2560,184,215,1517,0
2955,19,277,42,4657,217,196,4246,0
3251,11,459,38,6229,219,215,934,0
3366,4,150,10,1511,208,239,933,6
2991,8,454,72,4994,235,231,5435,1
3084,5,108,7,2402,228,238,2060,0
2820,15,408,90,3150,244,223,2716,1
2697,29,124,65,153,250,181,708,4
3260,7,371,55,2992,228,226,3946,0
3175,2,488,134,949,217,234,1365,1
2564,19,85,3,1500,248,223,1206,2
3254,17,350,36,3951,177,216,1617,0
3234,3,240,46,1570,217,233,1896,0
3120,17,330,14,2289,226,202,1698,1
3260,4,150,8,6331,226,233,331,0
2962,26,67,33,2232,234,178,2758,0
2717,13,134,23,1633,236,215,1630,1
3181,10,256,37,1932,202,250,1974,0
3221,2,258,7,3730,223,236,3761,0
2944,11,150,19,1959,239,230,2372,1
3257,14,108,26,1732,219,209,2763,0
2548,15,60,-2,2265,237,211,2335,1
3143,20,350,70,1692,233,243,1544,1
2705,11,351,11,864,202,220,1041,1
3164,17,30,8,5142,189,207,1026,0
2514,19,218,49,534,249,217,1034,2
2919,13,30,3,1655,183,234,1312,0
2929,14,134,18,1116,181,232,2969,0
3294,9,60,5,2190,198,232,2121,1
3212,15,474,110,361,240,236,4428,1
2361,12,446,236,914,198,219,1388,2
2768,6,30,-2,1470,221,226,1668,4
2552,15,134,10,1396,181,224,1421,4
2886,5,0,0,4904,209,233,1357,1
3069,10,228,7,180,224,247,1260,1
2886,20,576,171,376,159,236,1771,1
3289,9,685,173,6092,206,249,2911,1
3314,10,454,-20,1537,210,218,1998,0
3188,20,932,-81,4201,213,252,1507,1
2706,9,395,-1,959,233,226,2059,1
2885,15,268,47,1482,214,207,1082,1
2838,16,283,17,1860,190,212,1517,1
2729,3,30,7,2490,214,242,4484,1
2228,23,300,102,658,159,203,108,5
2750,17,0,0,2694,231,244,2297,1
3319,24,162,-10,2863,211,250,497,0
2387,29,67,13,708,130,201,981,5
3182,16,180,44,618,245,227,2295,1
3090,24,170,48,912,173,189,1978,0
2929,17,67,6,516,233,202,1616,1
2435,24,60,3,1717,214,180,256,2
3141,18,150,-14,4698,246,227,1234,0
2402,11,60,21,845,200,222,437,2
2703,16,30,4,1710,201,206,1369,0
2304,24,67,30,60,243,190,990,2
3057,4,0,0,4779,212,233,2202,1
2864,3,240,62,2081,223,234,2737,1
2902,10,127,11,1678,238,228,924,1
3014,14,524,41,2971,228,210,190,0
2832,7,60,4,872,219,225,2449,0
3199,15,631,115,6053,201,253,2352,1
2949,16,371,145,379,236,208,644,1
3417,10,677,218,774,205,221,870,0
2241,28,127,54,1019,253,193,1276,3
2132,31,192,96,616,127,235,524,2
3031,15,270,17,5442,233,243,1771,1
2789,4,30,2,973,227,234,2910,0
2917,19,85,8,1994,208,196,2171,1
2761,9,42,-3,1383,232,224,2193,1
3166,17,815,61,947,237,206,1782,1
3185,12,30,3,2986,229,245,5112,0
2928,14,360,118,360,241,216,716,1
3038,17,1127,157,3196,212,252,1398,1
3117,8,300,18,1302,233,236,2161,0
3273,12,30,9,1315,240,231,3211,1
3211,5,90,-1,2455,226,240,1148,0
3254,14,270,109,481,221,249,2610,0
2917,8,30,3,3612,232,228,1492,1
2741,17,90,16,1589,208,202,2336,1
3161,9,366,31,509,236,231,5649,0
2811,12,331,30,1566,214,250,1291,1
3335,22,648,155,819,153,224,408,0
2826,16,180,36,4385,227,247,5024,1
3059,7,454,60,2876,214,225,1873,1
2427,17,366,-22,990,170,237,120,5
2736,9,175,20,2605,233,224,5165,1
2402,13,457,160,1575,200,216,693,2
3037,9,510,24,3728,231,223,4767,0
3284,6,883,174,1415,203,241,2766,0
2942,15,134,42,495,231,207,2279,1
2545,16,30,3,1591,208,205,4496,1
3374,2,175,14,2568,222,239,2448,6
2958,14,459,147,1601,180,237,1253,1
2531,30,90,56,633,249,178,1172,1
2900,12,108,13,2397,230,244,2634,1
2691,21,30,12,210,246,200,577,4
2709,35,108,63,979,118,235,1458,1
2463,18,67,10,108,241,205,228,1
2859,28,335,225,1279,134,232,1570,1
2796,7,509,66,2863,230,239,1794,1
2972,14,430,171,4468,242,231,547,1
3128,28,384,82,3933,136,201,730,0
2950,4,127,3,2067,215,232,335,1
3249,13,90,1,702,219,212,2177,0
2733,11,60,-1,1499,211,217,1350,0
3170,20,725,346,1531,164,222,830,0
2974,12,42,5,2478,235,219,1806,1
2761,21,85,32,3518,244,231,1440,1
3085,8,120,9,3678,200,232,2089,0
3103,15,309,-22,1106,245,226,983,0
2883,6,0,0,5067,214,246,1215,1
2772,10,247,17,1464,214,219,569,1
3001,13,301,29,5290,219,211,6337,0
2972,11,466,-2,3282,230,218,5891,0
3279,11,342,72,1549,194,227,2680,0
2913,7,175,13,5557,226,243,4773,1
2969,9,60,-4,4964,235,233,552,1
2595,14,42,12,841,182,225,2210,1
3016,18,30,12,2100,247,212,3466,0
2144,33,108,87,1082,113,204,350,2
3009,12,90,26,2654,186,242,907,1
2942,25,242,95,6050,246,226,4220,1
3089,17,150,49,3004,236,204,5528,0
2188,24,150,74,1084,221,182,1205,2
2286,31,42,0,1381,122,206,765,2
3142,15,201,7,2335,238,238,1531,0
2581,34,342,120,845,114,228,1714,1
2844,12,162,23,3058,229,245,2089,1
3184,10,150,8,3570,193,243,1622,0
3077,13,339,43,5961,204,252,2134,1
3282,13,30,3,684,194,220,875,0
3249,20,408,168,4271,160,232,1198,1
2946,14,295,24,4710,235,241,437,1
3130,1,283,14,1910,216,238,2643,1
3263,7,330,-15,1519,216,226,1589,0
3148,9,153,28,5693,203,247,2946,1
3381,21,713,99,2382,232,192,2081,0
2790,8,90,5,418,213,223,830,1
2765,30,234,92,1399,137,188,1550,1
2326,27,285,84,1273,212,171,926,2
3371,9,769,42,997,220,247,4358,1
3118,13,242,10,1838,222,210,849,0
2736,39,150,88,1581,119,237,1385,1
3215,15,558,72,524,239,213,1682,1
3215,18,60,22,1626,178,213,451,0
3097,17,134,-4,3891,172,222,1706,0
2737,16,306,70,955,189,212,1980,1
2977,6,30,1,5428,213,228,2352,0
3194,29,591,192,849,240,226,1370,1
2200,3,0,0,1507,212,241,853,3
3025,12,212,52,2183,233,217,2650,0
2959,22,150,62,1182,177,196,886,1
2907,9,297,47,3314,196,242,2816,0
3080,3,30,1,3922,217,233,2040,0
2719,4,42,-3,1243,213,233,1972,0
3313,27,175,30,5163,247,185,150,0
3114,13,150,4,1392,208,252,2460,0
2498,25,175,73,806,153,202,1697,1
3079,17,85,-19,890,239,238,1518,0
2840,4,0,0,1390,209,240,1379,0
2586,10,216,54,830,230,219,3514,1
3041,13,836,7,6081,206,252,3354,1
2876,21,335,78,2982,251,211,268,1
2850,18,108,31,2247,242,234,968,4
2940,11,30,0,2438,221,216,1883,0
2847,9,67,8,1224,197,234,1390,0
2669,15,162,45,1902,226,207,1943,5
3186,26,524,119,1677,137,226,3171,0
2770,9,175,16,2297,216,222,3705,1
3129,6,108,1,2509,216,227,1292,0
2724,11,67,3,2274,238,230,6971,0
3003,4,190,16,3983,212,243,871,1
2865,20,67,25,4034,248,225,2940,0
2961,10,417,8,2242,224,217,2324,1
2853,15,451,119,240,221,205,979,1
3113,16,255,51,3000,188,213,2398,0
2922,8,540,124,2848,225,222,376,0
3253,6,361,26,3535,217,246,1771,0
2981,8,258,59,3662,227,224,2789,1
3097,8,443,60,2147,228,243,1702,1
2676,2,30,-1,1342,223,237,1529,1
3028,7,30,-2,531,201,240,1261,1
3116,5,564,35,1935,216,230,2716,0
3098,8,134,2,700,232,229,1451,0
2904,12,85,15,589,196,222,2525,0
3087,5,60,16,4569,208,232,3163,0
3234,13,433,13,3615,218,211,3933,0
2803,29,182,82,1233,132,234,1575,1
2679,17,190,-16,1442,246,227,2349,1
3198,12,162,13,2791,240,224,5182,0
3077,6,0,0,1026,221,226,1390,1
3150,10,182,50,5402,231,221,319,0
2477,12,120,21,242,207,214,1150,5
2203,37,216,82,618,94,206,470,2
2605,17,190,42,1489,246,226,1006,2
2945,23,228,114,5264,149,225,4953,1
2640,31,30,15,1044,161,164,3200,1
2970,10,484,106,1560,200,248,1325,1
3233,20,277,49,4103,162,240,1536,0
2140,32,60,29,993,254,182,342,3
2998,15,240,50,2362,226,247,2914,1
3094,17,342,102,3031,247,224,931,0
2928,26,395,47,1921,233,179,3056,1
2705,12,124,20,2432,210,214,594,0
3146,13,162,57,1052,238,217,1100,0
3052,5,30,8,1740,208,233,3242,1
2728,14,300,48,1355,216,210,2971,1
2849,12,120,24,2546,187,244,2326,0
2926,18,418,135,1419,175,214,2402,1
2859,12,42,0,3349,212,214,4871,1
2692,7,0,0,1936,223,224,60,0
3204,18,283,41,807,247,213,2780,1
2652,18,361,85,1116,248,220,3630,1
3177,23,872,256,3469,154,242,2255,0
3180,15,60,4,3301,232,244,3210,0
3154,4,90,22,942,215,244,1643,0
2937,24,201,92,732,167,192,1477,1
2945,10,649,23,1050,226,218,693,1
2735,10,300,85,1218,219,218,2170,1
3104,9,240,29,4410,235,230,3227,0
3000,8,30,3,808,198,234,1348,0
2484,11,30,-1,713,213,217,1266,1
3268,15,450,-5,845,245,223,3325,1
2989,14,85,-17,2224,219,209,1209,0
2953,3,300,-6,1155,221,233,2070,1
2626,11,60,6,1208,238,223,362,1
2742,4,85,12,1116,210,235,1714,0
3094,3,361,17,2644,219,232,1842,0
3159,7,277,43,4919,220,224,1471,0
3066,6,60,8,4950,205,235,2748,0
3077,4,277,33,3306,222,231,564,0
2793,24,192,48,3059,247,193,1414,1
2827,10,90,11,3163,235,237,2670,1
3203,4,30,-1,5153,224,231,735,0
2851,14,240,24,4400,218,250,4983,1
3237,1,182,3,30,217,237,1106,0
3525,4,277,91,2860,220,243,1973,0
2744,3,30,5,1423,222,233,2602,1
3267,21,324,64,849,208,191,1772,0
3065,5,67,6,1343,211,230,1814,1
2756,12,67,15,2164,200,219,446,1
2484,17,30,3,1505,206,203,849,5
3352,5,323,30,1120,227,231,2597,6
2271,22,30,7,1608,208,252,1068,5
2980,15,865,180,2624,197,253,1454,1
3011,10,741,113,5894,194,241,5758,1
2741,8,212,0,2310,225,244,1515,1
2557,20,30,-3,1530,184,254,1233,1
2946,19,218,28,636,210,195,1839,0
2647,10,216,35,661,233,220,1296,1
2995,10,150,-5,4399,226,220,684,1
2979,19,180,35,2321,227,246,2917,1
2871,26,212,55,1170,174,253,42,1
3247,13,595,39,3048,242,230,3078,1
3309,15,764,185,3197,207,206,764,0
2404,23,85,21,671,214,184,713,5
3111,8,120,26,1456,206,247,960,0
3285,3,459,39,5850,213,235,658,0
2416,29,150,62,731,142,187,1142,5
2548,21,67,15,361,228,191,1645,5
3202,5,765,-1,1082,227,240,2249,1
3176,12,418,24,5294,230,216,2571,1
3151,20,192,-17,1115,234,195,1065,1
2706,10,60,0,1092,205,222,1866,0
2675,14,60,-2,1044,240,216,2126,1
3206,16,270,45,2852,178,246,819,1
2696,6,391,88,547,229,239,67,2
2891,16,767,161,242,192,208,1350,1
2715,15,309,6,977,221,207,1981,1
2720,18,283,39,3403,206,200,3004,0
2730,9,150,7,1896,232,240,1120,1
2997,18,458,176,366,247,212,674,1
3350,7,60,-8,2208,229,228,3289,6
2954,8,0,0,4270,233,233,2184,1
3198,11,272,32,450,204,218,2125,0
2518,6,256,37,1087,226,229,4755,1
3348,27,295,104,2216,138,210,2264,1
3291,14,342,48,1452,186,220,2018,0
2315,20,175,78,255,173,206,1034,2
3153,5,446,19,4331,226,231,2002,1
2667,20,162,36,1557,206,193,1464,1
3187,15,277,82,1165,244,227,2249,0
2935,15,212,51,1771,229,207,2699,1
2643,15,162,35,371,224,206,297,1
3204,12,150,5,1015,213,215,2385,0
3430,15,741,67,882,243,216,395,6
3087,13,323,47,4945,192,219,511,1
2977,19,170,46,3763,249,215,1116,1
2870,8,323,75,3874,220,222,5476,1
3401,27,390,146,3389,161,251,666,0
2480,23,218,21,674,252,208,1294,2
3386,8,255,18,1719,197,242,799,6
3001,5,342,42,5042,213,231,4487,0
2803,7,228,7,3252,218,225,5267,1
2642,23,270,7,1112,240,189,1106,1
3112,4,85,-1,957,213,232,1745,0
3065,9,484,-5,1610,235,229,1350,0
3315,23,127,19,2269,211,184,421,6
2936,10,192,40,4475,222,217,2851,1
3213,5,339,23,6024,206,241,1800,1
2353,21,361,59,891,229,244,420,3
3205,8,391,33,1498,214,223,2148,1
3445,21,765,89,2554,164,211,1356,0
3038,7,331,93,2922,219,226,1500,0
2969,15,30,6,2408,195,212,1705,0
2983,27,150,6,420,254,198,1273,0
3280,10,90,1,3672,197,246,1637,0
2754,10,382,-5,914,235,222,2556,1
2409,4,127,-4,696,225,239,1001,2
2922,5,255,3,4729,226,230,3403,0
2976,11,794,220,1482,223,217,1919,1
3213,7,124,9,5635,216,247,1050,0
3303,9,150,43,6026,233,225,618,0
2922,14,85,3,5182,211,252,3719,1
3256,9,589,97,1307,233,225,2010,0
3193,23,108,29,2583,252,212,2971,0
3165,20,90,-23,2574,247,226,2564,0
2295,28,60,25,1323,139,241,467,5
2972,5,240,33,5892,218,230,4067,1
3272,32,85,35,2420,251,175,3022,1
2204,35,201,137,618,114,184,878,5
2710,32,124,55,2445,192,247,787,1
2522,29,361,114,331,254,201,1231,2
2257,29,127,76,1189,247,219,1106,3
3089,19,524,5,1865,229,197,2469,1
3414,3,1077,208,1293,211,241,1889,0
2639,21,0,0,2045,230,243,2016,2
3322,15,752,194,3870,180,245,2248,1
3322,29,108,22,1355,231,235,1167,0
3390,12,335,108,2192,239,221,2618,0
2823,35,150,72,2400,105,216,589,1
2853,19,277,90,1595,246,207,1627,4
3112,14,90,4,495,235,241,1855,0
3214,19,313,69,1260,241,236,1805,0
3157,24,768,2,1234,179,187,1682,0
3080,7,242,46,6674,224,225,3145,1
3432,6,216,18,1952,205,241,3561,0
3047,24,573,141,4387,205,181,4294,0
3329,10,365,0,1561,215,219,2197,0
3275,15,268,57,4221,175,234,1889,0
2879,14,30,-6,1080,238,238,1847,1
3010,11,30,-5,859,223,248,834,1
2857,15,658,283,1410,184,218,973,1
2988,14,335,48,1419,224,209,751,1
3362,14,514,-13,3000,181,242,1982,0
2951,17,390,62,2407,214,199,1507,0
3041,11,201,17,4657,203,219,967,0
2204,27,60,36,1100,134,220,534,2
2968,5,335,141,5142,211,231,5050,1
3008,11,350,127,1782,236,238,912,1
3309,17,30,9,1470,186,209,1699,0
3116,17,150,31,5123,228,201,1443,0
3125,10,277,50,2022,204,223,2423,1
3104,13,234,-22,2320,228,246,1805,1
3044,17,467,135,4296,233,203,4670,0
2820,20,201,95,2007,246,205,499,4
2616,13,60,-6,1218,211,251,871,2
3197,18,693,-9,1368,241,206,2561,1
3203,6,190,19,313,204,234,1106,0
3147,11,270,38,175,189,243,3144,1
2712,20,180,57,1822,176,203,1706,1
2944,6,180,17,1959,213,245,1866,1
2829,4,60,7,2497,225,233,2431,1
3426,13,774,141,2343,192,219,1401,0
3276,12,300,87,1084,219,214,1718,0
3143,17,384,136,2591,177,218,2543,0
3410,17,485,47,752,247,222,589,6
2755,25,108,46,1154,253,209,644,1
2814,8,85,13,3494,233,232,6483,1
2264,15,60,13,124,228,207,939,5
2811,19,127,28,2430,194,198,2874,1
2391,22,150,17,830,212,187,1022,5
3047,8,618,56,5799,198,237,5220,0
3346,9,120,1,5226,198,243,902,0
3043,23,966,156,3105,245,229,1631,1
3196,7,0,0,5047,208,229,1754,0
3119,21,418,78,1382,213,190,1087,0
3013,11,120,14,2874,197,223,1624,1
3263,3,335,-10,920,212,240,3152,1
3040,23,698,230,700,252,205,1429,0
2870,7,335,0,1150,228,242,2114,1
3482,19,722,267,2280,219,195,1699,0
3404,15,365,-60,1940,245,226,2965,0
3163,9,182,30,964,233,239,2110,0
2840,13,277,42,1922,216,211,1563,1
2833,27,210,57,1950,177,253,2144,1
3227,25,95,42,4232,173,186,3602,0
3173,10,700,29,6159,207,249,1142,1
2849,7,532,48,2556,231,239,2856,1
3183,13,30,-6,2669,241,223,2630,0
3008,12,467,164,5340,190,225,5139,1
2806,21,234,26,2787,215,190,150,0
3198,12,120,15,806,188,232,845,0
3336,18,420,115,1889,183,252,3329,0
2671,6,0,0,2375,220,244,2414,1
2891,18,85,-21,234,244,209,1114,0
2877,10,150,22,3462,193,243,2797,0
2713,24,153,80,1661,246,227,2563,1
2919,1,350,13,4673,219,239,4752,1
3100,5,212,43,1415,223,243,1518,0
2984,3,150,17,4925,222,234,1343,1
3275,8,150,-14,4050,232,227,2147,0
2526,22,391,152,702,211,252,912,2
2955,9,390,128,4987,235,235,5064,1
2925,8,228,21,4306,234,235,4057,1
2802,18,283,38,891,211,198,700,1
2614,8,30,2,633,228,243,1144,1
2768,4,201,10,2547,223,231,6177,1
2989,12,283,39,309,240,231,1415,0
2732,12,30,6,2355,188,243,180,1
2915,11,210,-12,778,217,216,2263,1
3073,24,384,26,4766,216,180,3231,0
3181,4,459,86,5032,221,231,2118,0
3090,17,67,21,3463,180,213,3004,0
2692,21,30,14,1358,240,194,1328,5
2866,26,216,44,339,244,185,212,0
3108,7,0,0,600,228,242,2030,0
2869,22,150,46,644,251,217,1276,4
2616,14,335,12,1745,187,248,691,2
2980,20,170,76,2391,179,253,1536,1
3160,3,466,53,5546,221,233,560,0
3116,12,242,34,1396,187,240,1956,1
2962,5,162,36,1498,205,239,1329,1
3260,25,391,100,426,190,254,1114,0
2715,20,85,20,2442,181,201,2079,1
2893,18,150,36,2510,183,208,1150,1
3093,20,180,52,997,236,196,1485,0
3053,7,42,0,3550,223,224,531,0
3271,13,295,37,1552,241,228,2069,0
2896,14,90,-18,630,234,212,1441,0
3280,32,720,59,1543,241,221,3350,0
2748,10,342,-24,1744,231,221,2274,1
2560,29,297,151,1477,198,249,854,2
3278,13,570,64,700,222,249,2619,1
3041,9,285,-2,3515,231,223,2799,0
2431,14,342,90,842,236,240,1200,2
2705,24,192,91,1167,229,182,875,1
2703,9,319,2,693,213,221,1855,0
2889,5,430,73,3610,223,243,3155,1
2649,8,350,-2,603,230,226,1466,1
3233,14,150,7,3339,228,246,810,1
3145,5,150,16,759,209,234,1136,0
2892,23,120,38,120,179,190,1907,0
3155,15,418,117,350,245,225,1615,1
2191,23,90,27,1364,185,189,466,5
2949,14,295,33,5340,194,251,3810,1
3590,5,395,53,1790,217,228,1606,6
2283,38,170,101,1209,93,183,492,2
2893,21,618,178,362,157,230,1729,1
3032,7,592,52,1342,210,228,2480,1
2690,14,190,99,977,198,213,2377,1
2932,5,30,4,2167,229,233,3029,0
3246,22,531,160,3225,242,195,598,0
2912,6,0,0,3852,215,227,4952,0
2925,13,503,-19,591,221,211,1731,1
2995,12,0,0,5624,219,249,2576,0
3180,3,0,0,3571,225,237,3155,0
2910,13,0,0,976,204,252,607,0
2920,11,190,14,3004,196,224,1608,0
2968,8,335,-9,3946,233,238,5732,1
2976,24,277,50,1689,252,215,1321,1
3150,15,342,44,2263,224,205,1556,1
3230,12,680,62,4137,203,218,3492,0
3694,8,1087,285,5076,215,223,3345,6
3273,12,108,14,3327,211,251,1463,0
2991,13,417,7,3893,231,213,4729,1
3354,21,127,44,3586,160,220,1687,0
3129,21,466,117,3036,249,206,845,0
2883,27,228,67,700,232,174,573,1
3324,3,510,90,3744,224,238,1513,6
2569,15,365,29,579,216,206,685,1
3306,11,339,41,1062,220,216,633,0
3284,22,417,109,4482,158,212,1323,6
3016,20,408,77,1489,245,202,2361,1
3119,13,390,35,1565,204,213,2813,0
2726,14,551,-22,757,239,214,2635,1
3088,22,228,45,1134,231,189,2239,0
3204,22,350,113,3785,227,245,624,1
2899,24,30,-16,362,251,197,1611,0
3090,27,150,28,1273,208,172,569,0
3031,24,212,16,874,252,212,1341,1
2947,11,258,57,3237,195,226,1867,1
3256,8,674,65,5761,217,223,2669,1
3259,5,752,128,1871,213,245,2306,0
2282,37,247,148,960,113,164,430,2
2967,2,234,25,1814,216,240,2190,1
3053,24,192,63,1595,185,185,1550,1
3224,9,30,1,3996,230,223,2711,6
2925,22,210,4,2105,167,204,376,0
3365,13,342,7,1761,220,249,3803,0
2855,9,295,58,2542,234,227,3121,1
3030,17,153,66,2460,170,230,1110,1
2977,9,256,14,4986,236,232,2596,0
2846,17,418,84,469,247,216,603,0
2921,35,210,117,1984,102,202,1190,1
2925,10,553,166,2731,199,225,1176,1
3268,11,134,42,1458,194,227,577,0
3113,22,150,27,3871,159,209,395,0
3168,12,313,41,997,220,249,624,0
2686,12,30,2,1630,213,214,3734,1
3224,5,124,-5,4602,211,230,738,0
3069,14,430,17,1811,223,210,2576,0
